άγγλους	αγγλος
άρσεναλ	αρσεναλ
άρση	αρση
άρσης	αρση
αρτέμιδος	αρτεμις
άσαντ	ασαντ
άσθμα	ασθμα
άσκηση	ασκηση
άσκησης	ασκηση
ασκήσεις	ασκηση
ασκήσεων	ασκηση
άσκοπο	ασκοπος
άστεγοι	αστεγος
άστοχη	αστοχος
άσυλο	ασυλο
άσχημη	ασχημος
άτομα	ατομο
άτομο	ατομο
ατόμων	ατομο
άτυχο	ατυχος
έβδομο	εβδομος
έβρο	εβρος
έγγραφα	εγγραφο
έγγραφο	εγγραφο
εγγράφου	εγγραφο
εγγράφων	εγγραφο
έγκαιρης	εγκαιρος
έγκειται	εγκειται
εγκλήματα	εγκλημα
εγκλήματος	εγκλημα
εγκλημάτων	εγκλημα
έγκριση	εγκριση
έδαφος	εδαφος
εδάφη	εδαφος
εδάφους	εδαφος
έδρα	εδρα
έθιμο	εθιμο
έθνη	εθνος
εθνών	εθνος
έθνη	εθνος
έθνος	εθνος
έιμος	ειμος
έκδοσή	εκδοση
έκδοση	εκδοση
έκδοσης	εκδοση
έκθεσή	εκθεση
έκθεσής	εκθεση
έκθεση	εκθεση
έκθεσης	εκθεση
εκθέσεις	εκθεση
έκκληση	εκκληση
έκπληξη	εκπληξη
εκπτώσεις	εκπτωση
έκπτωτο	εκπτωτος
έκρηξη	εκρηξη
έκρηξης	εκρηξη
εκρήξεις	εκρηξη
εκρήξεων	εκρηξη
εκτάκτων	εκτακτος
έκτακτης	εκτακτος
έκταση	εκταση
εκτάσεις	εκταση
έκτου	εκτος
έκφραση	εκφραση
έλατα	ελατο
ελέγχου	ελεγχος
έλεγχο	ελεγχος
έλεγχοι	ελεγχος
έλεγχος	ελεγχος
έλεγχό	ελεγχος
ελέγχου	ελεγχος
ελέγχους	ελεγχος
ελέγχων	ελεγχος
έλευση	ελευση
έλλειμμα	ελλειμμα
ελλείμματα	ελλειμμα
έλλειψη	ελλειψη
έλλειψης	ελλειψη
ελλείψεις	ελλειψη
έλληνες	ελληνας
έλληνες	ελληνας
ελλήνων	ελληνας
έλξης	ελξη
έμβλημα	εμβλημα
έμποροι	εμπορος
έμπορος	εμπορος
εμπόρους	εμπορος
εμπόρων	εμπορος
έμφαση	εμφαση
έναρξη	εναρξη
ένδειας	ενδεια
ένδειξη	ενδειξη
ένδειξης	ενδειξη
ενδείξεις	ενδειξη
έντεκα	ενδεκα
ένθερμους	ενθερμος
έννοια	εννοια
ένοπλα	ενοπλος
ένοπλες	ενοπλος
ένοπλοι	ενοπλος
ένορκοι	ενορκος
ένοχο	ενοχος
ένοχοι	ενοχος
ένταλμα	ενταλμα
εντάλματος	ενταλμα
ένταξής	ενταξη
ένταξη	ενταξη
έντασης	ενταση
έντονες	εντονος
έντονης	εντονος
έντονος	εντονος
εντονότατο	εντονος
έντουαρντ	εντουαρντ
ένωση	ενωση
ένωσης	ενωση
ενώσεως	ενωση
ένωση	ενωση
ένωσης	ενωση
έξαρση	εξαρση
έξοδα	εξοδο
έξοδο	εξοδος
εξόδου	εξοδος
έξυπνες	εξυπνος
έξω	εξω
έπαρση	επαρση
έπειτα	επειτα
έπειτα	επειτα
έργα	εργο
έργο	εργο
έργου	εργο
έργων	εργο
έρευνα	ερευνα
έρευνά	ερευνα
έρευνα	ερευνα
έρευνες	ερευνα
έρημο	ερημος
έρικ	ερικ
ήρθε	ερχομαι
έρθει	ερχομαι
έρθουμε	ερχομαι
έρθουν	ερχομαι
έρχεται	ερχομαι
έρχονται	ερχομαι
ήρθαν	ερχομαι
ήρθε	ερχομαι
έσοδα	εσοδο
έσοδο	εσοδο
έστω	εστω
έσω	εσω
έτιχαντ	ετιχαντ
έτοιμες	ετοιμος
έτοιμη	ετοιμος
έτοιμος	ετοιμος
έτη	ετος
έτος	ετος
έτους	ετος
ετών	ετος
έτσι	ετσι
έτσι	ετσι
έφεσή	εφεση
έχει	εχω
έχοντας	εχω
έχουμε	εχω
έχουν	εχω
έχω	εχω
είχε	εχω
έχει	εχω
έχετε	εχω
έχοντας	εχω
έχουμε	εχω
έχουν	εχω
έχω	εχω
είχα	εχω
είχαμε	εχω
είχαν	εχω
είχατε	εχω
είχε	εχω
ήδη	ηδη
ήδη	ηδη
ηπείρου	ηπειρος
ήπειρο	ηπειρος
ηπείρου	ηπειρος
ηπείρων	ηπειρος
ήπιες	ηπιος
ήτοι	ητοι
ήττα	ηττα
ήττα	ηττα
ίδια	ιδιος
ίδιας	ιδιος
ίδιας	ιδιος
ίδιες	ιδιος
ίδιο	ιδιος
ίδιοι	ιδιος
ίδιος	ιδιος
ίδιου	ιδιος
ίδιους	ιδιος
ιδρυμάτων	ιδρυμα
ίδρυσή	ιδρυση
ίδρυση	ιδρυση
ίσης	ισος
ίσες	ισος
ίσων	ισος
ίσως	ισως
ίσως	ισως
ίχνη	ιχνος
αll	αll
αέρα	αερας
αέρα	αερας
αέριο	αεριο
αερίου	αεριο
αερίου	αεριος
αερίου	αεριος
αέρος	αερος
αίγυπτο	αιγυπτος
αίγυπτος	αιγυπτος
αιγύπτου	αιγυπτος
αίθουσα	αιθουσα
αίματος	αιμα
αίρεται	αιρω
αίσιο	αισιος
αίτημα	αιτημα
αίτηση	αιτηση
αίτησης	αιτηση
αιτήσεις	αιτηση
αιτήσεων	αιτηση
αιτήσεως	αιτηση
αίτια	αιτιο
αβάσιμους	αβασιμος
αβοήθητοι	αβοηθητος
αβοήθητοι	αβοηθητος
αγαθά	αγαθο
αγαθών	αγαθο
αγαπημένους	αγαπαω
αγαπητοί	αγαπητος
αγγελιοφόρος	αγγελιοφορος
αγγλικά	αγγλικος
αγγλικούς	αγγλικος
αγιορείτες	αγιορειτης
αγνοούμενοι	αγνοουμενος
αγνοήσουμε	αγνοω
αγοράς	αγορα
αγορά	αγορα
αγοράς	αγορα
αγορές	αγορα
αγορών	αγορα
αγοράζονται	αγοραζω
αγοράσει	αγοραζω
αγοράσουμε	αγοραζω
αγοραστή	αγοραστης
αγρινίου	αγρινιο
αγριελιά	αγριελια
αγριογούρουνα	αγριογουρουνο
αγριοκάτσικο	αγριοκατσικο
αγριολούλουδα	αγριολουλουδο
αγωγή	αγωγη
αγωγοί	αγωγος
αγωνιζόμαστε	αγωνιζομαι
αγωνίστηκαν	αγωνιζομαι
αγωνιστή	αγωνιστης
αγόρια	αγορι
αγώνα	αγωνας
αγώνας	αγωνας
αδέλφια	αδερφι
αδίκημα	αδικημα
αδικήματα	αδικημα
αδικημάτων	αδικημα
αδίστακτος	αδιστακτος
αδελφοποιήσεις	αδελφοποιηση
αδελφοί	αδελφος
αδελφό	αδελφος
αδιάθετες	αδιαθετος
αδιαμφισβήτητη	αδιαμφισβητητος
αδιανόητοι	αδιανοητος
αδιευκρίνιστες	αδιευκρινιστος
αδικαιολόγητη	αδικαιολογητος
αδράνειά	αδρανεια
αδρανείς	αδρανης
αδρανών	αδρανης
αδυναμία	αδυναμια
αδυνατούμε	αδυνατω
αδόλφος	αδολφος
αδύνατη	αδυνατος
αεγχπ	αεγχπ
αειφόρο	αειφορο
αειφόρος	αειφορος
αειφόρου	αειφορος
αεροδρομίου	αεροδρομιο
αεροδρόμιο	αεροδρομιο
αεροπλάνου	αεροπλανο
αεροπορία	αεροπορια
αεροπορικώς	αεροπορικα
αεροπορικές	αεροπορικος
αεροπορικής	αεροπορικος
αεροσκάφη	αεροσκαφος
αεροσκάφος	αεροσκαφος
αεροσκάφους	αεροσκαφος
αθέμιτη	αθεμιτος
αθηνών	αθηνα
αθνάρ	αθναρ
αθωότητά	αθωοτητα
αθωότητας	αθωοτητα
αθώους	αθωος
αιγίδα	αιγιδα
αιγυπτιακά	αιγυπτιακος
αιγόγλαρο	αιγογλαρος
αιμολυτικά	αιμολυτικος
αισθανόμαστε	αισθανομαι
αισθητές	αισθητης
αισιοδοξία	αισιοδοξια
αιτία	αιτια
αιτίας	αιτια
αιτίες	αιτια
αιτιολογικές	αιτιολογικος
αιτιολογικής	αιτιολογικος
αιτιολογημένη	αιτιολογω
αιχμάλωτοι	αιχμαλωτος
αιχμάλωτος	αιχμαλωτος
αιχμής	αιχμη
αιχμαλωτίστηκαν	αιχμαλωτιζω
αιώνα	αιωνας
αιώνων	αιωνας
ακάλυπτος	ακαλυπτος
ακίνο	ακινο
ακαδημία	ακαδημια
ακαδημίας	ακαδημια
ακατανόητη	ακατανοητος
ακατοίκητα	ακατοικητος
ακατοίκητο	ακατοικητος
ακατόρθωτο	ακατορθωτος
ακεσαμναί	ακεσαμναι
ακινησίας	ακινησια
ήκμασε	ακμαζω
ακμή	ακμη
ακολουθώντας	ακολουθω
ακολούθησαν	ακολουθω
ακολούθησε	ακολουθω
ακολουθήθηκε	ακολουθω
ακολουθήσει	ακολουθω
ακολουθήσουμε	ακολουθω
ακολουθήσουν	ακολουθω
ακολουθεί	ακολουθω
ακολουθηθεί	ακολουθω
ακολουθούν	ακολουθω
ακολουθώντας	ακολουθω
ακούγοντας	ακουω
ακούγαμε	ακουω
ακούγεται	ακουω
ακούγονται	ακουω
ακούσαμε	ακουω
ακούσουμε	ακουω
ακούστηκαν	ακουω
ακραία	ακραιος
ακραίες	ακραιος
ακριβά	ακριβα
ακριβέστερα	ακριβης
ακριβέστερου	ακριβης
ακριβώς	ακριβως
ακριβώς	ακριβως
ακροαματική	ακροαματικος
ακροβολισμένοι	ακροβολιζομαι
ακροβούνι	ακροβουνι
ακρογωνιαίο	ακρογωνιαιος
ακρόαση	ακροαση
ακροπόλεις	ακροπολη
ακροπόλεων	ακροπολη
ακρόπολη	ακροπολη
ακρόπολης	ακροπολη
ακτίνα	ακτινα
ακτιβιστές	ακτιβιστης
ακτιβιστές	ακτιβιστης
ακτοπλοΐας	ακτοπλοια
ακυρωτικού	ακυρωτικος
ακυρώνει	ακυρωνω
ακυρώσει	ακυρωνω
ακύρωσε	ακυρωνω
ακόλουθο	ακολουθος
ακόμα	ακομα
ακόμη	ακομα
ακόμα	ακομα
ακόμη	ακομα
ακύρωση	ακυρωση
αλ	αλ
αλ	αλ
αλέξανδρο	αλεξανδρος
αλέξανδρος	αλεξανδρος
αλέξανδρου	αλεξανδρος
αλήθεια	αληθεια
αλήθεια	αληθεια
αλί	αλι
αλαμπάμα	αλαμπαμα
αλβανοί	αλβανος
αλγερία	αλγερια
αλγερινής	αλγερινος
αλεξάντερ	αλεξαντερ
αλεξέι	αλεξει
αλεξίπτωτο	αλεξιπτωτο
αλεξιπτωτιστών	αλεξιπτωτιστης
αληθεύει	αληθευω
αληθεύει	αληθευω
αλκοόλ	αλκοολ
άλλαξε	αλλαζω
αλλάξει	αλλαζω
αλλαγές	αλλαγη
αλλαγή	αλλαγη
αλλαγών	αλλαγη
αλλεπάλληλα	αλλεπαλληλος
αλληλεγγύη	αλληλεγγυη
αλληλεπίδραση	αλληλεπιδραση
αλληλογραφίας	αλληλογραφια
αλλιώς	αλλιως
αλλοδαποί	αλλοδαπος
αλλοδαπών	αλλοδαπος
αλλού	αλλου
αλυκή	αλυκη
αλυσίδες	αλυσιδα
αλφαβητισμού	αλφαβητισμος
αλοννήσου	αλοννησος
αλύτρωτη	αλυτρωτος
αμαξιών	αμαξι
αμέσως	αμεσως
αμέσως	αμεσως
αμερικανική	αμερικανικος
αμερικανικού	αμερικανικος
αμερικανικών	αμερικανικος
αμερικανική	αμερικανικος
αμερικανικής	αμερικανικος
αμερικανικό	αμερικανικος
αμερικανικών	αμερικανικος
αμερική	αμερικη
αμερικανοί	αμερικανος
αμερικανού	αμερικανος
αμερικανό	αμερικανος
αμερικανός	αμερικανος
αμερικανός	αμερικανος
αμερικανών	αμερικανος
αμερικανός	αμερικανος
αμερικανών	αμερικανος
αμνήστευση	αμνηστευση
αμνηστία	αμνηστια
αμνηστίας	αμνηστια
αμοιβαία	αμοιβαιος
αμοιβαίας	αμοιβαιος
αμοιβαίες	αμοιβαιος
αμπάς	αμπας
αμπιγιάν	αμπιγιαν
αμπντάλα	αμπνταλα
αμπντελμαλέκ	αμπντελμαλεκ
αμπντουλάχ	αμπντουλαχ
αμπντουραμάν	αμπντουραμαν
αμρ	αμρ
αμυντικής	αμυντικος
αμυρά	αμυρας
αμφιθεατρικά	αμφιθεατρικα
αμφιθεατρική	αμφιθεατρικος
αμφιλεγόμενα	αμφιλεγομενος
αμφισβήτησης	αμφισβητηση
αμφισβητούμενη	αμφισβητουμενος
αμφισβητεί	αμφισβητω
αμφισβητούνται	αμφισβητω
αμυνθεί	αμυνομαι
ανάγκες	αναγκη
ανάγκες	αναγκη
ανάγκη	αναγκη
ανάγκης	αναγκη
ανάγνωση	αναγνωση
αναγνώσεων	αναγνωση
ανάδοχοι	αναδοχος
αναδόχους	αναδοχος
ανάθεση	αναθεση
ανάθεσης	αναθεση
ανάκαμψη	ανακαμψη
ανάκρουση	ανακρουση
ανάκτησης	ανακτηση
ανάκτορο	ανακτορο
ανάληψη	αναληψη
ανάλογα	αναλογα
ανάλογα	αναλογα
ανάλογα	αναλογα
ανάλογα	αναλογος
ανάλογες	αναλογος
ανάλογη	αναλογος
ανάλογης	αναλογος
ανάλυσή	αναλυση
ανάλυση	αναλυση
αναλύσεις	αναλυση
ανάλωσης	αναλωση
ανάμικτες	αναμεικτος
ανάμειξη	αναμειξη
ανάμεσα	αναμεσα
ανάμεσά	αναμεσα
ανάμεσα	αναμεσα
ανάπαυσης	αναπαυση
ανάπλασης	αναπλαση
ανάπτυξη	αναπτυξη
ανάπτυξης	αναπτυξη
ανάρμοστης	αναρμοστος
ανέρχεται	ανερχομαι
ανέρχονται	ανερχομαι
ανήλθε	ανερχομαι
ανήκαν	ανηκω
ανήκει	ανηκω
ανήκουμε	ανηκω
ανήκουν	ανηκω
ανίτα	ανιτα
ανέβαλε	αναβαλλω
αναβολή	αναβολη
αναγγείλει	αναγγελλω
αναγκάζει	αναγκαζω
αναγκάζονται	αναγκαζω
αναγκάζουν	αναγκαζω
αναγκάσει	αναγκαζω
αναγκάσουν	αναγκαζω
αναγκάστηκαν	αναγκαζω
αναγκάστηκε	αναγκαζω
αναγκαζόμαστε	αναγκαζω
αναγκαστεί	αναγκαζω
αναγκαστούν	αναγκαζω
αναγκαία	αναγκαιος
αναγκαίο	αναγκαιος
αναγκαιότητα	αναγκαιοτητα
αναγκαστικά	αναγκαστικα
αναγκαστική	αναγκαστικος
αναγνωρίζει	αναγνωριζω
αναγνωρίσατε	αναγνωριζω
αναγνωρίζει	αναγνωριζω
αναγνωρίζονταν	αναγνωριζω
αναγνωρίζοντας	αναγνωριζω
αναγνωρίζουν	αναγνωριζω
αναγνωρίσει	αναγνωριζω
αναγνωρίσουμε	αναγνωριζω
αναγνωρίστηκε	αναγνωριζω
αναγνωρισθεί	αναγνωριζω
αναγνωριστεί	αναγνωριζω
αναγνώριση	αναγνωριση
αναγνώρισης	αναγνωριση
ανέδειξε	αναδεικνυω
αναδείχτηκε	αναδεικνυω
αναδιάρθρωσης	αναδιαρθρωση
αναδιαρθρώσεων	αναδιαρθρωση
αναδιπλωθούμε	αναδιπλωνω
αναζήτησης	αναζητηση
αναζητά	αναζητω
αναζητούν	αναζητω
αναζωογόνηση	αναζωογονηση
αναθέρμανση	αναθερμανση
αναθέτουσα	αναθετουσα
ανέθεσε	αναθετω
αναθέσει	αναθετω
ανατέθηκε	αναθετω
ανατεθεί	αναθετω
αναθέτουσας	αναθετων
αναθέτουσες	αναθετων
αναθεωρηθεί	αναθεωρω
αναθεώρησε	αναθεωρω
αναθεώρηση	αναθεωρηση
αναθεώρησης	αναθεωρηση
αναθεώρησης	αναθεωρηση
ανακάλυψη	ανακαλυψη
ανακάμψει	ανακαμπτω
ανακήρυξή	ανακηρυξη
ανακαινίσεις	ανακαινιση
ανακάλυψαν	ανακαλυπτω
ανακατασκευής	ανακατασκευη
ανακατονομή	ανακατονομη
ανακηρύξει	ανακηρυσσω
ανακοίνωση	ανακοινωση
ανακοίνωση	ανακοινωση
ανακοίνωσης	ανακοινωση
ανακοινώσεις	ανακοινωση
ανακοίνωσε	ανακοινωνω
ανακοινωθούν	ανακοινωνω
ανακοινώθηκαν	ανακοινωνω
ανακοινώνουν	ανακοινωνω
ανακοινώσει	ανακοινωνω
ανακούφιση	ανακουφιση
ανακρίτριας	ανακριτρια
ανακριτές	ανακριτης
ανακριτές	ανακριτης
ανακριτή	ανακριτης
ανακτήσουν	ανακτω
ανακτηθεί	ανακτω
ανακωχή	ανακωχη
ανακόλουθος	ανακολουθος
ανακόπτεται	ανακοπτω
ανακόψουν	ανακοπτω
ανακύψουν	ανακυπτω
ανέλαβε	αναλαμβανω
ανάλαβε	αναλαμβανω
ανέλαβαν	αναλαμβανω
ανέλαβε	αναλαμβανω
αναλάβει	αναλαμβανω
αναλάβετε	αναλαμβανω
αναλάβουν	αναλαμβανω
αναληφθεί	αναλαμβανω
αναληφθούν	αναλαμβανω
αναλογία	αναλογια
αναλογιστεί	αναλογιζομαι
αναλογικότητας	αναλογικοτητα
αναλογούντων	αναλογων
αναλυτές	αναλυτης
αναλυτικά	αναλυτικα
αναλυτικά	αναλυτικα
αναλυτική	αναλυτικος
αναλύσω	αναλυω
αναμέναμε	αναμενω
αναμένεται	αναμενω
αναμένει	αναμενω
αναμένεται	αναμενω
αναμένουμε	αναμενω
αναμένω	αναμενω
αναμέτρησης	αναμετρηση
αναμετρήσεις	αναμετρηση
αναμονή	αναμονη
αναμφίβολα	αναμφιβολα
ανανεώσουν	ανανεωνω
αναντίρρητα	αναντιρρητα
αναπαλαιωθεί	αναπαλαιωνω
αναπληρωτή	αναπληρωτης
αναπληρωτής	αναπληρωτης
αναπληρωτές	αναπληρωτης
αναπληρώτρια	αναπληρωτρια
αναπνευστικές	αναπνευστικος
αναπνοή	αναπνοη
αναποτελεσματικότητα	αναποτελεσματικοτητα
αναπροσαρμογή	αναπροσαρμογη
αναπτυξιακή	αναπτυξιακος
αναπτυσσόμενο	αναπτυσσομενος
ανέπτυξε	αναπτυσσω
αναπτυχθεί	αναπτυσσω
αναπτύξει	αναπτυσσω
αναπτύξουμε	αναπτυσσω
αναπτύσσεται	αναπτυσσω
αναπτύσσονται	αναπτυσσω
αναπτύχθηκε	αναπτυσσω
αναρίθμητες	αναριθμητος
αναρρίχηση	αναρριχηση
αναρωτηθώ	αναρωτιεμαι
ανασκαφές	ανασκαφη
ανασκαφική	ανασκαφικος
ανεστάλη	αναστελλω
ανασταλτικά	ανασταλτικα
αναστηλωθεί	αναστηλωνω
αναστολή	αναστολη
ανασύρθηκαν	ανασυρω
ανατολή	ανατολη
ανατολής	ανατολη
ανατολής	ανατολη
ανατολής	ανατολη
ανατολικά	ανατολικα
ανατολική	ανατολικος
ανατολικής	ανατολικος
ανατολικά	ανατολικος
ανατολική	ανατολικος
ανατολικής	ανατολικος
ανέτρεψε	ανατρεπω
ανατρέπουν	ανατρεπω
ανατροπή	ανατροπη
ανέφερα	αναφερω
αναφέρομαι	αναφερω
αναφέρω	αναφερω
αναφερθήκατε	αναφερω
ανάφερε	αναφερω
ανέφερα	αναφερω
ανέφεραν	αναφερω
ανέφερε	αναφερω
αναφέρατε	αναφερω
αναφέρει	αναφερω
αναφέρεται	αναφερω
αναφέρθηκαν	αναφερω
αναφέρθηκε	αναφερω
αναφέρομαι	αναφερω
αναφέρονται	αναφερω
αναφέροντας	αναφερω
αναφέρουν	αναφερω
αναφέρω	αναφερω
αναφερθήκατε	αναφερω
αναφερθώ	αναφερω
αναφερόμαστε	αναφερω
αναφερόμενη	αναφερομενος
αναφορά	αναφορα
αναφοράς	αναφορα
αναφορές	αναφορα
αναφορικά	αναφορικα
αναχωρήσει	αναχωρω
αναχωρούν	αναχωρω
αναχώρησαν	αναχωρω
αναχώρησε	αναχωρω
αναψυκτήρια	αναψυκτηριο
αναψυχής	αναψυχη
ανδρικό	ανδρικος
ανεμοστρόβιλοι	ανεμοστροβιλος
ανεμοστρόβιλοι	ανεμοστροβιλος
ανεμοστρόβιλους	ανεμοστροβιλος
ανεμοστρόβιλων	ανεμοστροβιλος
ανεμόμυλοι	ανεμομυλος
ανεξάρτητα	ανεξαρτητα
ανεξάρτητου	ανεξαρτητος
ανεξάρτητα	ανεξαρτητος
ανεξάρτητες	ανεξαρτητος
ανεξάρτητη	ανεξαρτητος
ανεξάρτητης	ανεξαρτητος
ανεξάρτητοι	ανεξαρτητος
ανεξάρτητου	ανεξαρτητος
ανεξάρτητους	ανεξαρτητος
ανεξαιρέτως	ανεξαιρετα
ανεξαρτησίας	ανεξαρτησια
ανεξαρτησία	ανεξαρτησια
ανεξαρτησίας	ανεξαρτησια
ανεπίτρεπτη	ανεπιτρεπτος
ανεπαρκή	ανεπαρκης
ανεπαρκής	ανεπαρκης
ανεπιθύμητες	ανεπιθυμητος
ανεπιφύλακτα	ανεπιφυλακτα
ανεπτυγμένες	ανεπτυγμενος
ανεργία	ανεργια
ανεργίας	ανεργια
ανεφοδιασμού	ανεφοδιασμος
ανησυχία	ανησυχια
ανησυχίες	ανησυχια
ανησυχητική	ανησυχητικος
ανησυχητικό	ανησυχητικος
ανησυχώ	ανησυχω
ανησυχεί	ανησυχω
ανησυχούν	ανησυχω
ανθρωπιστικών	ανθρωπιστικος
ανθρωπιστικές	ανθρωπιστικος
ανθρωπιστική	ανθρωπιστικος
ανθρωπιστικού	ανθρωπιστικος
ανθρωπιστικών	ανθρωπιστικος
ανθρωπότητας	ανθρωποτητα
ανθρώπινα	ανθρωπινος
ανθρωπίνων	ανθρωπινος
ανθρώπινα	ανθρωπινος
ανθρώπινης	ανθρωπινος
ανθρώπινο	ανθρωπινος
ανθρώπινου	ανθρωπινος
άνοιξαν	ανοιγω
άνοιξε	ανοιγω
ανοίγουν	ανοιγω
ανοίξει	ανοιγω
ανοίξουν	ανοιγω
ανοίχθηκε	ανοιγω
ανοικοδομήθηκαν	ανοικοδομω
ανοικοδομηθούν	ανοικοδομω
ανοικοδόμησή	ανοικοδομηση
ανοικοδόμησης	ανοικοδομηση
ανοιχτά	ανοικτα
ανοικτές	ανοιχτος
ανοικτή	ανοιχτος
ανοιχτές	ανοιχτος
ανοιχτή	ανοιχτος
ανοιχτής	ανοιχτος
ανοιχτού	ανοιχτος
ανοιχτό	ανοιχτος
ανοργάνωτη	ανοργανωτος
ανουάρ	ανουαρ
ανσάρ	ανσαρ
αντάρτες	ανταρτης
ανταρτών	ανταρτης
αντάρτικα	ανταρτικος
αντάρτικος	ανταρτικος
αντάρτικων	ανταρτικος
αντίδρασή	αντιδραση
αντίδραση	αντιδραση
αντίδρασης	αντιδραση
αντιδράσεις	αντιδραση
αντίθετα	αντιθετα
αντιθέτως	αντιθετα
αντίθετα	αντιθετα
αντιθέτως	αντιθετα
αντίθετη	αντιθετος
αντίθετο	αντιθετος
αντίκτυπο	αντικτυπος
αντικτύπου	αντικτυπος
αντίπαλες	αντιπαλος
αντίπαλοι	αντιπαλος
αντίπαλοι	αντιπαλος
αντιπάλους	αντιπαλος
αντίποινα	αντιποινο
αντιρρήσεις	αντιρρηση
αντίσταση	αντισταση
αντίσταση	αντισταση
αντίστοιχα	αντιστοιχα
αντίστοιχα	αντιστοιχος
αντίστοιχες	αντιστοιχος
αντίστοιχη	αντιστοιχος
αντίστοιχο	αντιστοιχος
αντίστοιχου	αντιστοιχος
αντίτυπα	αντιτυπο
αντίτυπο	αντιτυπο
ανταγωνισμού	ανταγωνισμος
ανταγωνισμούς	ανταγωνισμος
ανταγωνισμό	ανταγωνισμος
ανταγωνισμός	ανταγωνισμος
ανταγωνιστικές	ανταγωνιστικος
ανταγωνιστικού	ανταγωνιστικος
αντήλλαξε	ανταλλαζω
ανταλλαγή	ανταλλαγη
ανταλλαγής	ανταλλαγη
ανταλλαγών	ανταλλαγη
ανταποκρίθηκε	ανταποκρινομαι
ανταποκρίνεται	ανταποκρινομαι
ανταποκριθεί	ανταποκρινομαι
ανταποκριθούμε	ανταποκρινομαι
ανταποκριθούν	ανταποκρινομαι
ανταπόδοση	ανταποδοση
αντεκδίκησης	αντεκδικηση
αντιαεροπορικό	αντιαεροπορικος
αντιβασίλισσα	αντιβασιλισσα
αντιβασιλέα	αντιβασιλεας
αντιδιαστολή	αντιδιαστολη
αντέδρασε	αντιδρω
αντιδράσουμε	αντιδρω
αντιζηλιών	αντιζηλια
αντικαθιστώντας	αντικαθιστω
αντικατέστησε	αντικαθιστω
αντικαταστήσει	αντικαθιστω
αντικατασταθεί	αντικαθιστω
αντικατάσταση	αντικατασταση
αντικατοπτρίζει	αντικατοπτριζω
αντικείμενα	αντικειμενο
αντικείμενα	αντικειμενο
αντικείμενο	αντικειμενο
αντικειμενικό	αντικειμενικος
αντικομμουνιστική	αντικομμουνιστικος
αντικυβερνητικής	αντικυβερνητικος
αντικυβερνητικών	αντικυβερνητικος
αντιλαμβανόμαστε	αντιλαμβανομαι
αντιληφθήκαμε	αντιλαμβανομαι
αντιμέτωποι	αντιμετωπος
αντιμέτωπη	αντιμετωπος
αντιμέτωπους	αντιμετωπος
αντιμαχομένων	αντιμαχομενος
αντιμετωπίζει	αντιμετωπιζω
αντιμετωπίζεται	αντιμετωπιζω
αντιμετωπίζουμε	αντιμετωπιζω
αντιμετωπίζουν	αντιμετωπιζω
αντιμετωπίσει	αντιμετωπιζω
αντιμετωπίσουμε	αντιμετωπιζω
αντιμετωπίσουν	αντιμετωπιζω
αντιμετωπιστεί	αντιμετωπιζω
αντιμετώπιζε	αντιμετωπιζω
αντιμετώπισε	αντιμετωπιζω
αντιμετώπισης	αντιμετωπιση
αντιμετώπισή	αντιμετωπιση
αντιμετώπιση	αντιμετωπιση
αντιμετώπισης	αντιμετωπιση
αντιπαράθεση	αντιπαραθεση
αντιπαράθεσης	αντιπαραθεση
